Trait,Score,%
none,"0",0.00%
N/A,"6767",67.67%
Empty,"1629",16.29%
Panama Brown,107,1.07%
Panama Red,95,0.95%
Panama White,92,0.92%
Airpods Max White,84,0.84%
White Icecream,79,0.79%
Airpods Max Red,77,0.77%
Cap,76,0.76%
Chaplin Green,67,0.67%
Airpods Max Grey,67,0.67%
Panama Blue,66,0.66%
Halo,65,0.65%
Airpods Max Blue,64,0.64%
Ice cream,59,0.59%
Saffari,59,0.59%
Airpods Max Black,58,0.58%
Chaplin,58,0.58%
Panama Purple,56,0.56%
Black Hat,54,0.54%
TV,51,0.51%
Unicorn,47,0.47%
Panama Orange,46,0.46%
Princess,44,0.44%
Blue Fire,41,0.41%
Pilot Hat,34,0.34%
King,32,0.32%
BrainDrain,26,0.26%